010 H3N2 84.30
100 H3N2 98.90
101 H3N2 99.50
103 H3N2 98.80
104 H3N2 98.75
105 H3N2 93.05
106 H3N2 99.35
011 H3N2 98.15
012 H3N2 99.05
013 H3N2 98.05
014 H3N2 96.80
015 H3N2 94.45
016 H3N2 98.80
017 H3N2 99.10
018 H3N2 98.00
019 H3N2 97.90
002 H3N2 98.50
020 H3N2 98.60
022 H3N2 95.70
023 H3N2 92.55
024 H3N2 81.45
025 H3N2 98.90
026 H3N2 95.90
027 H3N2 98.40
028 H3N2 93.35
029 H3N2 98.95
003 H3N2 97.25
030 H3N2 98.50
031 H3N2 96.05
033 H3N2 98.35
034 H3N2 98.50
036 H3N2 80.55
037 H3N2 59.25
038 H3N2 33.20
039 H3N2 99.45
004 H3N2 98.50
040 H3N2 78.40
400 H3N2 82.55
401 H3N2 95.95
402 H3N2 91.40
403 H3N2 78.70
404 H3N2 93.80
406 H3N2 84.15
407 H3N2 72.65
409 H3N2 53.55
041 H3N2 99.55
411 H3N2 42.50
412 H3N2 64.65
414 H3N2 46.30
415 H3N2 69.85
042 H3N2 97.40
426 H3N2 1.00
427 H3N2 2.45
043 H3N2 99.25
044 H3N2 78.95
046 H3N2 97.60
047 H3N2 92.65
049 H3N2 99.00
005 H3N2 96.50
050 H3N2 98.80
501 H3N2 50.95
503 H3N2 86.50
504 H3N2 17.25
506 H3N2 75.75
507 H3N2 93.85
508 H3N2 73.10
509 H3N2 91.15
051 H3N2 98.95
510 H3N2 98.95
511 H3N2 99.00
512 H3N2 42.95
515 H3N2 78.90
517 H3N2 82.05
052 H3N2 88.30
520 H3N2 10.50
524 H3N2 91.35
525 H3N2 7.40
528 H3N2 0.45
529 H3N2 93.35
530 H3N2 89.55
054 H3N2 99.15
055 H3N2 99.20
056 H3N2 60.15
057 H3N2 97.80
058 H3N2 80.50
059 H3N2 82.15
006 H3N2 69.90
061 H3N2 99.65
064 H3N2 97.90
066 H3N2 99.75
067 H3N2 94.60
068 H3N2 82.10
007 H3N2 99.40
070 H3N2 82.20
071 H3N2 99.00
072 H3N2 96.55
073 H3N2 99.20
074 H3N2 96.65
075 H3N2 94.30
076 H3N2 89.95
077 H3N2 93.65
078 H3N2 97.40
079 H3N2 92.90
008 H3N2 98.10
080 H3N2 91.05
081 H3N2 99.05
082 H3N2 79.95
083 H3N2 26.10
084 H3N2 87.95
085 H3N2 84.10
086 H3N2 98.50
088 H3N2 94.85
089 H3N2 97.15
090 H3N2 6.45
091 H3N2 3.95
092 H3N2 29.80
093 H3N2 6.15
094 H3N2 32.45
095 H3N2 98.65
096 H3N2 44.75
098 H3N2 96.20
Brisbane H3N2 98.65
Cal-H3N2 H3N2 98.80
