Barbezange-122 seasonalH1N1 99.07
Barbezange-130 H3N2 98.10
Barbezange-131 seasonalH1N1 99.86
Barbezange-144 seasonalH1N1 99.36
Barbezange-154 pdmH1N1 99.35
Barbezange-155 H3N2 98.80
Barbezange-166 H3N2 99.90
Barbezange-171 H3N2 99.30
Barbezange-182 pdmH1N1 97.17
Barbezange-192 H3N2 98.70
Barbezange-202 H3N2 99.50
Barbezange-208 pdmH1N1 98.50
Barbezange-219 seasonalH1N1 99.41
Barbezange-220 seasonalH1N1 99.45
Barbezange-244 H3N2 96.00
Barbezange-249 H3N2 100.00
Barbezange-258 pdmH1N1 99.58
Barbezange-281 H3N2 98.10
Barbezange-282 pdmH1N1 97.85
Barbezange-284 H3N2 99.20
Barbezange-290 seasonalH1N1 99.56
Barbezange-291 pdmH1N1 99.80
Barbezange-296 H3N2 91.70
Barbezange-329 H3N2 96.80
Barbezange-337 seasonalH1N1 99.90
Barbezange-338 H3N2 96.40
Barbezange-342 H3N2 99.70
Barbezange-347 pdmH1N1 99.90
Barbezange-355 pdmH1N1 99.55
Barbezange-373 pdmH1N1 98.90
Barbezange-379 pdmH1N1 98.65
Barbezange-398 pdmH1N1 97.53
Barbezange-400 H3N2 98.20
Barbezange-405 seasonalH1N1 99.54
Barbezange-427 H3N2 99.30
Barbezange-430 H3N2 99.80
Barbezange-435 pdmH1N1 99.55
Barbezange-438 H3N2 99.30
Barbezange-442 seasonalH1N1 99.41
Barbezange-443 H3N2 97.80
Barbezange-446 H3N2 99.20
Barbezange-453 seasonalH1N1 98.66
Barbezange-459 seasonalH1N1 98.36
Barbezange-473 H3N2 97.40
Barbezange-485 H3N2 99.20
Barbezange-486 seasonalH1N1 99.75
Barbezange-495 pdmH1N1 99.25
Barbezange-528 pdmH1N1 99.62
Barbezange-531 pdmH1N1 97.92
Barbezange-534 seasonalH1N1 99.73
Barbezange-562 seasonalH1N1 99.65
Barbezange-578 seasonalH1N1 99.83
Barbezange-617 seasonalH1N1 94.11
Barbezange-624 seasonalH1N1 99.64
Barbezange-628 seasonalH1N1 47.32
Barbezange-629 H3N2 99.60
Barbezange-634 pdmH1N1 98.03
Barbezange-639 pdmH1N1 99.85
Barbezange-641 H3N2 98.70
Barbezange-647 pdmH1N1 99.78
Barbezange-659 pdmH1N1 99.50
Barbezange-660 pdmH1N1 97.60
Barbezange-671 seasonalH1N1 97.39
Barbezange-676 H3N2 98.10
Barbezange-681 pdmH1N1 99.17
Barbezange-687 pdmH1N1 99.65
Barbezange-696 pdmH1N1 99.83
Barbezange-706 pdmH1N1 99.83
Barbezange-718 H3N2 94.90
Barbezange-720 pdmH1N1 98.75
Barbezange-722 pdmH1N1 99.85
Barbezange-724 pdmH1N1 98.67
Barbezange-734 pdmH1N1 96.88
Barbezange-752 H3N2 98.80
Barbezange-760 H3N2 99.20
Barbezange-767 pdmH1N1 99.55
Barbezange-772 seasonalH1N1 98.08
Barbezange-776 seasonalH1N1 99.57
Barbezange-781 pdmH1N1 99.60
Barbezange-816 H3N2 99.30
Barbezange-822 H3N2 99.80
Barbezange-827 seasonalH1N1 99.83
Barbezange-833 H3N2 98.30
Barbezange-835 pdmH1N1 97.58
Barbezange-850 pdmH1N1 99.47
Barbezange-858 H3N2 99.90
Barbezange-862 H3N2 99.00
Barbezange-866 seasonalH1N1 98.36
Barbezange-871 seasonalH1N1 99.83
Barbezange-894 pdmH1N1 99.38
Barbezange-895 seasonalH1N1 96.38
Barbezange-899 pdmH1N1 99.83
Barbezange-915 H3N2 98.60
Barbezange-925 pdmH1N1 98.28
Barbezange-943 pdmH1N1 97.45
Barbezange-948 seasonalH1N1 99.25
Barbezange-960 seasonalH1N1 99.63
Barbezange-963 pdmH1N1 99.92
Barbezange-986 H3N2 98.80
Barbezange-991 pdmH1N1 97.83
Barbezange-995 pdmH1N1 99.33
