NGS001 pdmH1N1 91.17
NGS002 pdmH1N1 96.70
NGS003 pdmH1N1 78.84
NGS004 pdmH1N1 96.90
NGS005 pdmH1N1 83.58
NGS006 pdmH1N1 74.06
NGS007 pdmH1N1 13.56
NGS008 pdmH1N1 95.89
NGS009 pdmH1N1 80.20
NGS010 pdmH1N1 94.47
NGS011 pdmH1N1 65.03
NGS012 pdmH1N1 21.89
NGS013 pdmH1N1 30.60
NGS014 pdmH1N1 96.17
NGS015 pdmH1N1 93.96
NGS016 H3N2 92.40
NGS017 H3N2 36.05
NGS018 H3N2 99.20
NGS019 H3N2 93.20
NGS020 H3N2 89.15
NGS021 H3N2 37.60
NGS022 H3N2 0.80
NGS023 H3N2 9.55
NGS024 H3N2 84.40
NGS025 H3N2 97.45
NGS026 H3N2 44.25
NGS027 H3N2 96.85
NGS028 H3N2 17.45
NGS029 H3N2 0.75
NGS030 H3N2 21.35
NGS031 H3N2 97.60
NGS032 H3N2 95.35
NGS033 H3N2 24.25
NGS034 H3N2 96.80
NGS035 H3N2 94.35
NGS036 H3N2 91.35
NGS037 H3N2 96.50
NGS038 pdmH1N1 83.54
NGS039 H3N2 93.85
NGS040 H3N2 90.40
NGS041 H3N2 45.85
NGS042 H3N2 48.80
NGS043 H3N2 98.35
NGS044 H3N2 78.55
NGS045 H3N2 94.95
NGS046 H3N2 87.90
NGS047 H3N2 93.95
NGS048 H3N2 83.80
NGS049 H3N2 94.95
NGS050 H3N2 57.95
NGS051 pdmH1N1 87.81
NGS052 pdmH1N1 21.62
NGS053 pdmH1N1 3.62
NGS054 H3N2 0.30
NGS055 H3N2 91.35
NGS056 H3N2 4.35
NGS057 seasonalH1N1 2.56
NGS058 H3N2 63.75
NGS059 H3N2 93.05
NGS060 pdmH1N1 92.10
NGS061 pdmH1N1 10.62
NGS062 H3N2 52.60
NGS063 H3N2 68.05
NGS064 pdmH1N1 92.29
NGS065 pdmH1N1 92.66
NGS066 pdmH1N1 80.72
NGS067 pdmH1N1 84.24
NGS068 pdmH1N1 38.54
NGS069 H3N2 5.25
NGS070 pdmH1N1 1.18
NGS071 pdmH1N1 1.00
NGS072 H3N2 1.25
NGS073 H3N2 14.60
NGS074 H3N2 1.10
NGS075 seasonalH1N1 0.17
NGS076 pdmH1N1 12.41
NGS077 pdmH1N1 71.39
NGS078 pdmH1N1 0.39
NGS079 pdmH1N1 1.07
NGS080 pdmH1N1 34.83
NGS081 pdmH1N1 94.78
NGS082 pdmH1N1 93.83
NGS083 pdmH1N1 68.00
NGS084 pdmH1N1 92.70
NGS085 pdmH1N1 97.12
NGS086 pdmH1N1 95.95
NGS087 pdmH1N1 27.61
NGS088 pdmH1N1 48.95
NGS089 pdmH1N1 14.09
NGS090 pdmH1N1 44.74
NGS091 pdmH1N1 9.05
NGS092 pdmH1N1 96.22
NGS093 pdmH1N1 98.09
NGS094 pdmH1N1 88.51
NGS095 pdmH1N1 22.60
NGS096 pdmH1N1 72.70
VF001 H3N2 46.75
VF010 H3N2 87.95
VF011 H3N2 61.50
VF013 H3N2 44.30
VF014 H3N2 86.00
VF015 H3N2 85.50
VF016 H3N2 76.00
VF017 H3N2 29.35
VF018 H3N2 11.00
VF019 H3N2 48.50
VF020 H3N2 22.60
VF021 H3N2 82.90
VF022 pdmH1N1 97.96
VF023 pdmH1N1 82.67
VF024 pdmH1N1 73.16
VF026 pdmH1N1 87.86
VF027 pdmH1N1 74.00
VF028 pdmH1N1 15.71
VF003 pdmH1N1 6.79
VF032 H3N2 26.20
VF034 H3N2 96.00
VF035 H3N2 80.00
VF036 H3N2 65.55
VF037 H3N2 14.05
VF038 H3N2 58.80
VF039 H3N2 62.90
VF004 H3N2 35.55
VF040 pdmH1N1 87.14
VF041 pdmH1N1 76.40
VF042 pdmH1N1 68.05
VF043 pdmH1N1 69.59
VF044 pdmH1N1 85.21
VF045 pdmH1N1 76.83
VF047 pdmH1N1 11.29
VF048 pdmH1N1 87.24
VF049 pdmH1N1 13.39
VF005 pdmH1N1 54.39
VF053 H3N2 63.35
VF055 H3N2 85.80
VF056 H3N2 11.60
VF057 H3N2 49.30
VF058 H3N2 93.60
VF059 H3N2 94.80
VF006 pdmH1N1 12.75
VF060 H3N2 92.85
VF061 H3N2 29.35
VF062 H3N2 74.30
VF064 H3N2 64.35
VF065 H3N2 96.10
VF066 H3N2 57.10
VF068 H3N2 77.25
VF069 H3N2 17.50
VF007 pdmH1N1 9.30
VF070 H3N2 84.40
VF008 pdmH1N1 67.83
VF009 H3N2 24.50
