Year CollectionDate Gene Subtype Syn Distance DivPerSite
1999 1998.989 1-PB2 H3N2 S 12 0.0210624260887666
1999 1999.066 1-PB2 H3N2 S 13 0.0228176282628304
1999 1999 1-PB2 H3N2 S 3 0.00526560652219164
1999 1999.008 1-PB2 H3N2 S 11 0.0193072239147027
1999 1999 1-PB2 H3N2 S 12 0.0210624260887666
1999 1999.044 1-PB2 H3N2 S 13 0.0228176282628304
1999 1999.074 1-PB2 H3N2 S 12 0.0210624260887666
1999 1998.603 1-PB2 H3N2 S 20 0.0351040434812776
1999 1999 1-PB2 H3N2 S 12 0.0210624260887666
1999 1999.181 1-PB2 H3N2 S 12 0.0210624260887666
1999 1999 1-PB2 H3N2 S 12 0.0210624260887666
1999 1999.277 1-PB2 H3N2 S 15 0.0263280326109582
1999 1999.036 1-PB2 H3N2 S 19 0.0333488413072137
1999 1999 1-PB2 H3N2 S 3 0.00526560652219164
1999 1999.09 1-PB2 H3N2 S 13 0.0228176282628304
1999 1999.211 1-PB2 H3N2 S 14 0.0245728304368943
1999 1998.989 1-PB2 H3N2 S 12 0.0210624260887666
1999 1998.997 1-PB2 H3N2 S 12 0.0210624260887666
1999 1998.945 1-PB2 H3N2 S 11 0.0193072239147027
1999 1999 1-PB2 H3N2 S 11 0.0193072239147027
1999 1999.066 1-PB2 H3N2 S 12 0.0210624260887666
1999 1999.148 1-PB2 H3N2 S 14 0.0245728304368943
1999 1999 1-PB2 H3N2 S 3 0.00526560652219164
1999 1999.027 1-PB2 H3N2 S 14 0.0245728304368943
1999 1999 1-PB2 H3N2 S 14 0.0245728304368943
1999 1999 1-PB2 H3N2 S 17 0.029838436959086
1999 1999.038 1-PB2 H3N2 S 11 0.0193072239147027
1999 1999.077 1-PB2 H3N2 S 20 0.0351040434812776
1999 1999 1-PB2 H3N2 S 12 0.0210624260887666
1999 1998.995 1-PB2 H3N2 S 11 0.0193072239147027
1999 1999.027 1-PB2 H3N2 S 13 0.0228176282628304
1999 1999.112 1-PB2 H3N2 S 13 0.0228176282628304
