Year CollectionDate Gene Subtype Syn Distance Outlier
1999 1998.989 1-PB2 H3N2 S 12 no
1999 1999.066 1-PB2 H3N2 S 13 no
1999 1999 1-PB2 H3N2 S 3 no
1999 1999.008 1-PB2 H3N2 S 11 no
1999 1999 1-PB2 H3N2 S 12 no
1999 1999.044 1-PB2 H3N2 S 13 no
1999 1999.074 1-PB2 H3N2 S 12 no
1999 1998.603 1-PB2 H3N2 S 20 no
1999 1999 1-PB2 H3N2 S 12 no
1999 1999.181 1-PB2 H3N2 S 12 no
1999 1999 1-PB2 H3N2 S 12 no
1999 1999.277 1-PB2 H3N2 S 15 no
1999 1999.036 1-PB2 H3N2 S 19 no
1999 1999 1-PB2 H3N2 S 3 no
1999 1999.09 1-PB2 H3N2 S 13 no
1999 1999.211 1-PB2 H3N2 S 14 no
1999 1998.989 1-PB2 H3N2 S 12 no
1999 1998.997 1-PB2 H3N2 S 12 no
1999 1998.945 1-PB2 H3N2 S 11 no
1999 1999 1-PB2 H3N2 S 11 no
1999 1999.066 1-PB2 H3N2 S 12 no
1999 1999.148 1-PB2 H3N2 S 14 no
1999 1999 1-PB2 H3N2 S 3 no
1999 1999.027 1-PB2 H3N2 S 14 no
1999 1999 1-PB2 H3N2 S 14 no
1999 1999 1-PB2 H3N2 S 17 no
1999 1999.038 1-PB2 H3N2 S 11 no
1999 1999.077 1-PB2 H3N2 S 20 no
1999 1999 1-PB2 H3N2 S 12 no
1999 1998.995 1-PB2 H3N2 S 11 no
1999 1999.027 1-PB2 H3N2 S 13 no
1999 1999.112 1-PB2 H3N2 S 13 no
1999 1999.093 1-PB2 H3N2 S 21 no
1999 1999 1-PB2 H3N2 S 14 no
1999 1999.129 1-PB2 H3N2 S 12 no
1999 1999.115 1-PB2 H3N2 S 12 no
1999 1998.992 1-PB2 H3N2 S 19 no
1999 1999 1-PB2 H3N2 S 23 no
1999 1999.033 1-PB2 H3N2 S 11 no
1999 1999.066 1-PB2 H3N2 S 12 no
1999 1999 1-PB2 H3N2 S 7 no
1999 1999.225 1-PB2 H3N2 S 12 no
1999 1998.72 1-PB2 H3N2 S 20 no
