Year CollectionDate Gene Subtype Syn Distance Outlier
2009 2009.334 1-PB2 H3N2 S 13 no
2009 2008.937 1-PB2 H3N2 S 7 no
2009 2008.973 1-PB2 H3N2 S 10 no
2009 2009.381 1-PB2 H3N2 S 13 no
2009 2009.389 1-PB2 H3N2 S 17 no
2009 2009.32 1-PB2 H3N2 S 13 no
2009 2009.337 1-PB2 H3N2 S 13 no
2009 2009.471 1-PB2 H3N2 S 13 no
2009 2009.326 1-PB2 H3N2 S 17 no
2009 2009.334 1-PB2 H3N2 S 13 no
2009 2009.318 1-PB2 H3N2 S 15 no
2009 2009.085 1-PB2 H3N2 S 11 no
2009 2009.323 1-PB2 H3N2 S 11 no
2009 2009.482 1-PB2 H3N2 S 16 no
2009 2009.326 1-PB2 H3N2 S 13 no
2009 2009.482 1-PB2 H3N2 S 14 no
2009 2009.419 1-PB2 H3N2 S 17 no
2009 2008.8 1-PB2 H3N2 S 7 no
2009 2009.444 1-PB2 H3N2 S 13 no
2009 2009 1-PB2 H3N2 S 17 no
2009 2008.943 1-PB2 H3N2 S 7 no
2009 2009.329 1-PB2 H3N2 S 15 no
2009 2008.781 1-PB2 H3N2 S 10 no
2010 2009.551 1-PB2 H3N2 S 16 no
2010 2010.419 1-PB2 H3N2 S 18 no
2010 2009.52 1-PB2 H3N2 S 15 no
2010 2009.586 1-PB2 H3N2 S 18 no
2010 2010.268 1-PB2 H3N2 S 15 no
2010 2009.608 1-PB2 H3N2 S 16 no
2010 2010.441 1-PB2 H3N2 S 18 no
2010 2010.416 1-PB2 H3N2 S 18 no
2010 2009.504 1-PB2 H3N2 S 17 no
2010 2010.43 1-PB2 H3N2 S 18 no
2010 2010.386 1-PB2 H3N2 S 18 no
2010 2010.425 1-PB2 H3N2 S 18 no
2010 2010.422 1-PB2 H3N2 S 18 no
2010 2009.592 1-PB2 H3N2 S 15 no
2010 2010.025 1-PB2 H3N2 S 12 no
2010 2010.433 1-PB2 H3N2 S 18 no
2010 2009.567 1-PB2 H3N2 S 15 no
2010 2010.367 1-PB2 H3N2 S 21 no
2010 2009.94 1-PB2 H3N2 S 20 no
2010 2009.578 1-PB2 H3N2 S 18 no
2010 2010.403 1-PB2 H3N2 S 19 no
2010 2010.381 1-PB2 H3N2 S 26 no
