Year CollectionDate Gene Subtype Syn Distance DivPerSite
1995 1995.137 1-PB2 H3N2 S 106 0.186051430450771
1995 1995 1-PB2 H3N2 S 106 0.186051430450771
1995 1995.047 1-PB2 H3N2 S 110 0.193072239147027
1995 1995.088 1-PB2 H3N2 S 104 0.182541026102643
1995 1995.099 1-PB2 H3N2 S 110 0.193072239147027
1995 1995.071 1-PB2 H3N2 S 105 0.184296228276707
1995 1995.047 1-PB2 H3N2 S 110 0.193072239147027
1995 1995.14 1-PB2 H3N2 S 106 0.186051430450771
1995 1994.838 1-PB2 H3N2 S 103 0.18078582392858
1995 1995 1-PB2 H3N2 S 107 0.187806632624835
1996 1995.581 1-PB2 H3N2 S 114 0.200093047843282
1996 1995.778 1-PB2 H3N2 S 108 0.189561834798899
1996 1996.257 1-PB2 H3N2 S 107 0.187806632624835
1996 1996.025 1-PB2 H3N2 S 104 0.182541026102643
1996 1995.737 1-PB2 H3N2 S 106 0.186051430450771
1996 1996.249 1-PB2 H3N2 S 109 0.191317036972963
1996 1995.989 1-PB2 H3N2 S 111 0.194827441321091
1996 1996.249 1-PB2 H3N2 S 109 0.191317036972963
1996 1995.951 1-PB2 H3N2 S 105 0.184296228276707
1996 1996.148 1-PB2 H3N2 S 111 0.194827441321091
1996 1996.164 1-PB2 H3N2 S 108 0.189561834798899
1996 1996.079 1-PB2 H3N2 S 110 0.193072239147027
1996 1995.986 1-PB2 H3N2 S 105 0.184296228276707
1996 1995.737 1-PB2 H3N2 S 108 0.189561834798899
1996 1996.038 1-PB2 H3N2 S 108 0.189561834798899
1996 1995.907 1-PB2 H3N2 S 105 0.184296228276707
1996 1996 1-PB2 H3N2 S 110 0.193072239147027
1996 1996.172 1-PB2 H3N2 S 108 0.189561834798899
1996 1996.213 1-PB2 H3N2 S 108 0.189561834798899
1996 1995.885 1-PB2 H3N2 S 107 0.187806632624835
1996 1995.934 1-PB2 H3N2 S 109 0.191317036972963
1996 1996 1-PB2 H3N2 S 109 0.191317036972963
1996 1995.962 1-PB2 H3N2 S 109 0.191317036972963
1996 1996.005 1-PB2 H3N2 S 112 0.196582643495155
1996 1996.115 1-PB2 H3N2 S 107 0.187806632624835
1996 1995.501 1-PB2 H3N2 S 108 0.189561834798899
1996 1995.964 1-PB2 H3N2 S 111 0.194827441321091
1996 1996.025 1-PB2 H3N2 S 112 0.196582643495155
1996 1996.046 1-PB2 H3N2 S 111 0.194827441321091
1996 1996 1-PB2 H3N2 S 110 0.193072239147027
1996 1995.992 1-PB2 H3N2 S 111 0.194827441321091
1996 1996.126 1-PB2 H3N2 S 112 0.196582643495155
1996 1996 1-PB2 H3N2 S 111 0.194827441321091
1996 1995.567 1-PB2 H3N2 S 107 0.187806632624835
1996 1996.41 1-PB2 H3N2 S 107 0.187806632624835
1996 1996.057 1-PB2 H3N2 S 111 0.194827441321091
1996 1995.962 1-PB2 H3N2 S 105 0.184296228276707
1996 1995.962 1-PB2 H3N2 S 107 0.187806632624835
1996 1996.393 1-PB2 H3N2 S 110 0.193072239147027
1996 1996.019 1-PB2 H3N2 S 106 0.186051430450771
1996 1996.044 1-PB2 H3N2 S 105 0.184296228276707
1996 1995.989 1-PB2 H3N2 S 112 0.196582643495155
1996 1996 1-PB2 H3N2 S 113 0.198337845669218
1996 1995.945 1-PB2 H3N2 S 111 0.194827441321091
1996 1996.5 1-PB2 H3N2 S 111 0.194827441321091
1996 1996 1-PB2 H3N2 S 113 0.198337845669218
1996 1995.666 1-PB2 H3N2 S 108 0.189561834798899
1996 1996.464 1-PB2 H3N2 S 110 0.193072239147027
1997 1996.751 1-PB2 H3N2 S 104 0.182541026102643
1997 1996.945 1-PB2 H3N2 S 114 0.200093047843282
1997 1996.732 1-PB2 H3N2 S 122 0.214134665235793
1997 1996.959 1-PB2 H3N2 S 114 0.200093047843282
1997 1996.975 1-PB2 H3N2 S 114 0.200093047843282
1997 1997.014 1-PB2 H3N2 S 113 0.198337845669218
1997 1996.962 1-PB2 H3N2 S 114 0.200093047843282
1997 1996.945 1-PB2 H3N2 S 109 0.191317036972963
1997 1997.044 1-PB2 H3N2 S 110 0.193072239147027
1997 1996.986 1-PB2 H3N2 S 112 0.196582643495155
1997 1997.003 1-PB2 H3N2 S 109 0.191317036972963
1997 1997.058 1-PB2 H3N2 S 110 0.193072239147027
1997 1996.943 1-PB2 H3N2 S 113 0.198337845669218
1997 1996.795 1-PB2 H3N2 S 119 0.208869058713602
1997 1997.197 1-PB2 H3N2 S 121 0.212379463061729
1997 1996.926 1-PB2 H3N2 S 116 0.20360345219141
1997 1997.014 1-PB2 H3N2 S 112 0.196582643495155
1997 1996.995 1-PB2 H3N2 S 106 0.186051430450771
1997 1996.937 1-PB2 H3N2 S 110 0.193072239147027
1997 1997.014 1-PB2 H3N2 S 111 0.194827441321091
1997 1996.88 1-PB2 H3N2 S 109 0.191317036972963
1997 1996.899 1-PB2 H3N2 S 113 0.198337845669218
1997 1996.97 1-PB2 H3N2 S 112 0.196582643495155
1997 1997.416 1-PB2 H3N2 S 114 0.200093047843282
1997 1996.863 1-PB2 H3N2 S 113 0.198337845669218
1997 1997.496 1-PB2 H3N2 S 111 0.194827441321091
1997 1996.989 1-PB2 H3N2 S 114 0.200093047843282
1997 1996.817 1-PB2 H3N2 S 105 0.184296228276707
1997 1997.477 1-PB2 H3N2 S 121 0.212379463061729
1997 1997.427 1-PB2 H3N2 S 120 0.210624260887666
1997 1996.973 1-PB2 H3N2 S 114 0.200093047843282
1997 1996.967 1-PB2 H3N2 S 112 0.196582643495155
1997 1996.962 1-PB2 H3N2 S 113 0.198337845669218
1997 1996.784 1-PB2 H3N2 S 114 0.200093047843282
1997 1996.975 1-PB2 H3N2 S 114 0.200093047843282
1997 1997.466 1-PB2 H3N2 S 120 0.210624260887666
1997 1996.94 1-PB2 H3N2 S 113 0.198337845669218
1997 1996.937 1-PB2 H3N2 S 112 0.196582643495155
1997 1997 1-PB2 H3N2 S 111 0.194827441321091
1997 1996.88 1-PB2 H3N2 S 109 0.191317036972963
1997 1996.503 1-PB2 H3N2 S 111 0.194827441321091
1997 1996.937 1-PB2 H3N2 S 113 0.198337845669218
1997 1996.962 1-PB2 H3N2 S 112 0.196582643495155
1997 1996.863 1-PB2 H3N2 S 113 0.198337845669218
1997 1996.945 1-PB2 H3N2 S 109 0.191317036972963
1997 1996.708 1-PB2 H3N2 S 121 0.212379463061729
1997 1996.945 1-PB2 H3N2 S 114 0.200093047843282
1997 1997.003 1-PB2 H3N2 S 110 0.193072239147027
1997 1997.466 1-PB2 H3N2 S 109 0.191317036972963
1997 1997.208 1-PB2 H3N2 S 121 0.212379463061729
1999 1998.989 1-PB2 H3N2 S 116 0.20360345219141
1999 1999.066 1-PB2 H3N2 S 117 0.205358654365474
1999 1999 1-PB2 H3N2 S 120 0.210624260887666
1999 1999.008 1-PB2 H3N2 S 115 0.201848250017346
1999 1999 1-PB2 H3N2 S 116 0.20360345219141
1999 1999.044 1-PB2 H3N2 S 117 0.205358654365474
1999 1999.074 1-PB2 H3N2 S 114 0.200093047843282
1999 1998.603 1-PB2 H3N2 S 124 0.217645069583921
1999 1999 1-PB2 H3N2 S 118 0.207113856539538
1999 1999.181 1-PB2 H3N2 S 118 0.207113856539538
1999 1999 1-PB2 H3N2 S 116 0.20360345219141
1999 1999.277 1-PB2 H3N2 S 118 0.207113856539538
1999 1999.036 1-PB2 H3N2 S 116 0.20360345219141
1999 1999 1-PB2 H3N2 S 120 0.210624260887666
1999 1999.09 1-PB2 H3N2 S 117 0.205358654365474
1999 1999.211 1-PB2 H3N2 S 118 0.207113856539538
1999 1998.989 1-PB2 H3N2 S 116 0.20360345219141
1999 1998.997 1-PB2 H3N2 S 116 0.20360345219141
1999 1998.945 1-PB2 H3N2 S 115 0.201848250017346
1999 1999 1-PB2 H3N2 S 117 0.205358654365474
1999 1999.066 1-PB2 H3N2 S 116 0.20360345219141
1999 1999.148 1-PB2 H3N2 S 120 0.210624260887666
1999 1999 1-PB2 H3N2 S 118 0.207113856539538
1999 1999.027 1-PB2 H3N2 S 118 0.207113856539538
1999 1999 1-PB2 H3N2 S 118 0.207113856539538
1999 1999 1-PB2 H3N2 S 123 0.215889867409857
1999 1999.038 1-PB2 H3N2 S 115 0.201848250017346
1999 1999.077 1-PB2 H3N2 S 118 0.207113856539538
1999 1999 1-PB2 H3N2 S 116 0.20360345219141
1999 1998.995 1-PB2 H3N2 S 115 0.201848250017346
1999 1999.027 1-PB2 H3N2 S 117 0.205358654365474
1999 1999.112 1-PB2 H3N2 S 117 0.205358654365474
1999 1999.093 1-PB2 H3N2 S 122 0.214134665235793
1999 1999 1-PB2 H3N2 S 118 0.207113856539538
1999 1999.129 1-PB2 H3N2 S 116 0.20360345219141
1999 1999.115 1-PB2 H3N2 S 115 0.201848250017346
1999 1998.992 1-PB2 H3N2 S 120 0.210624260887666
1999 1999 1-PB2 H3N2 S 122 0.214134665235793
1999 1999.033 1-PB2 H3N2 S 115 0.201848250017346
1999 1999.066 1-PB2 H3N2 S 116 0.20360345219141
1999 1999 1-PB2 H3N2 S 121 0.212379463061729
1999 1999.225 1-PB2 H3N2 S 116 0.20360345219141
1999 1998.72 1-PB2 H3N2 S 124 0.217645069583921
1999 1999.066 1-PB2 H3N2 S 116 0.20360345219141
1999 1999 1-PB2 H3N2 S 123 0.215889867409857
1999 1999.129 1-PB2 H3N2 S 115 0.201848250017346
1999 1998.893 1-PB2 H3N2 S 116 0.20360345219141
1999 1999 1-PB2 H3N2 S 117 0.205358654365474
1999 1999.162 1-PB2 H3N2 S 115 0.201848250017346
1999 1999 1-PB2 H3N2 S 117 0.205358654365474
1971 1971 1-PB2 H3N2 S 59 0.103556928269769
1971 1971 1-PB2 H3N2 S 54 0.0947809173994495
1971 1971 1-PB2 H3N2 S 54 0.0947809173994495
1971 1971 1-PB2 H3N2 S 51 0.0895153108772579
1971 1971 1-PB2 H3N2 S 49 0.0860049065291301
1971 1971 1-PB2 H3N2 S 55 0.0965361195735134
1971 1971 1-PB2 H3N2 S 54 0.0947809173994495
1971 1971 1-PB2 H3N2 S 55 0.0965361195735134
1971 1971 1-PB2 H3N2 S 54 0.0947809173994495
1972 1972 1-PB2 H3N2 S 54 0.0947809173994495
1972 1972 1-PB2 H3N2 S 52 0.0912705130513217
1972 1972 1-PB2 H3N2 S 58 0.101801726095705
1972 1972 1-PB2 H3N2 S 54 0.0947809173994495
1972 1972 1-PB2 H3N2 S 56 0.0982913217475773
