Year Gene BinFreq NS S ProportionNS NumVariants
2017 6-NA 1e-04 753 1127 0.400531914893617 1880
2017 6-NA 0.000316227766016838 627 1037 0.376802884615385 1664
2017 6-NA 0.001 55 154 0.263157894736842 209
2017 6-NA 0.00316227766016838 39 53 0.423913043478261 92
2017 6-NA 0.01 22 38 0.366666666666667 60
2017 6-NA 0.0316227766016838 10 16 0.384615384615385 26
2017 6-NA 0.1 7 15 0.318181818181818 22
2017 6-NA 0.316227766016838 9 11 0.45 20
2017 7-M1 1e-04 56 329 0.145454545454545 385
2017 7-M1 0.000316227766016838 51 302 0.144475920679887 353
2017 7-M1 0.001 6 87 0.0645161290322581 93
2017 7-M1 0.00316227766016838 1 22 0.0434782608695652 23
2017 7-M1 0.01 0 13 0 13
2017 7-M1 0.0316227766016838 0 9 0 9
2017 7-M1 0.1 0 5 0 5
2017 7-M1 0.316227766016838 0 3 0 3
2017 8-NS1 1e-04 400 300 0.571428571428571 700
2017 8-NS1 0.000316227766016838 330 299 0.524642289348172 629
2017 8-NS1 0.001 47 48 0.494736842105263 95
2017 8-NS1 0.00316227766016838 17 15 0.53125 32
2017 8-NS1 0.01 9 13 0.409090909090909 22
2017 8-NS1 0.0316227766016838 3 10 0.230769230769231 13
2017 8-NS1 0.1 3 4 0.428571428571429 7
2017 8-NS1 0.316227766016838 5 3 0.625 8
2018 1-PB2 1e-04 497 1723 0.223873873873874 2220
2018 1-PB2 0.000316227766016838 242 963 0.200829875518672 1205
2018 1-PB2 0.001 31 211 0.128099173553719 242
2018 1-PB2 0.00316227766016838 21 131 0.138157894736842 152
2018 1-PB2 0.01 3 33 0.0833333333333333 36
2018 1-PB2 0.0316227766016838 3 34 0.0810810810810811 37
2018 1-PB2 0.1 2 11 0.153846153846154 13
2018 1-PB2 0.316227766016838 3 32 0.0857142857142857 35
2018 2-PB1 1e-04 542 1967 0.216022319649263 2509
2018 2-PB1 0.000316227766016838 266 1009 0.208627450980392 1275
2018 2-PB1 0.001 35 235 0.12962962962963 270
2018 2-PB1 0.00316227766016838 13 142 0.0838709677419355 155
2018 2-PB1 0.01 2 44 0.0434782608695652 46
2018 2-PB1 0.0316227766016838 0 15 0 15
2018 2-PB1 0.1 0 12 0 12
2018 2-PB1 0.316227766016838 0 31 0 31
2018 3-PA 1e-04 497 1599 0.237118320610687 2096
2018 3-PA 0.000316227766016838 246 859 0.22262443438914 1105
2018 3-PA 0.001 38 186 0.169642857142857 224
2018 3-PA 0.00316227766016838 7 73 0.0875 80
2018 3-PA 0.01 3 44 0.0638297872340425 47
2018 3-PA 0.0316227766016838 0 26 0 26
2018 3-PA 0.1 1 5 0.166666666666667 6
2018 3-PA 0.316227766016838 5 31 0.138888888888889 36
2018 4-HA 1e-04 899 1531 0.369958847736626 2430
2018 4-HA 0.000316227766016838 429 790 0.351927809680066 1219
2018 4-HA 0.001 84 221 0.275409836065574 305
2018 4-HA 0.00316227766016838 49 78 0.385826771653543 127
2018 4-HA 0.01 22 34 0.392857142857143 56
2018 4-HA 0.0316227766016838 19 23 0.452380952380952 42
2018 4-HA 0.1 10 9 0.526315789473684 19
2018 4-HA 0.316227766016838 18 23 0.439024390243902 41
2018 4-HA 1 1 0 1 1
2018 5-NP 1e-04 286 1157 0.198198198198198 1443
2018 5-NP 0.000316227766016838 120 622 0.161725067385445 742
2018 5-NP 0.001 16 154 0.0941176470588235 170
2018 5-NP 0.00316227766016838 11 83 0.117021276595745 94
2018 5-NP 0.01 2 25 0.0740740740740741 27
2018 5-NP 0.0316227766016838 2 13 0.133333333333333 15
2018 5-NP 0.1 1 4 0.2 5
2018 5-NP 0.316227766016838 4 17 0.19047619047619 21
2018 6-NA 0.000316227766016838 436 710 0.380453752181501 1146
2018 6-NA 0.001 81 173 0.318897637795276 254
2018 6-NA 0.00316227766016838 39 74 0.345132743362832 113
2018 6-NA 0.01 12 29 0.292682926829268 41
2018 6-NA 0.0316227766016838 6 13 0.315789473684211 19
2018 6-NA 0.1 4 1 0.8 5
2018 6-NA 0.316227766016838 11 16 0.407407407407407 27
2018 7-M1 1e-04 65 327 0.165816326530612 392
2018 7-M1 0.000316227766016838 36 228 0.136363636363636 264
2018 7-M1 0.001 3 66 0.0434782608695652 69
2018 7-M1 0.00316227766016838 1 39 0.025 40
2018 7-M1 0.01 0 8 0 8
2018 7-M1 0.0316227766016838 0 8 0 8
2018 7-M1 0.1 0 4 0 4
2018 7-M1 0.316227766016838 0 6 0 6
2018 8-NS1 1e-04 353 274 0.562998405103668 627
2018 8-NS1 0.000316227766016838 199 199 0.5 398
