Subtype FreqBin CodonPos NumVariants PercentVariants
H3N2 -6 2 1 1
H3N2 -5.8 1 2 0.4
H3N2 -5.8 2 1 0.2
H3N2 -5.8 3 2 0.4
H3N2 -5.6 1 102 0.310975609756098
H3N2 -5.6 2 127 0.38719512195122
H3N2 -5.6 3 99 0.301829268292683
H3N2 -5.4 1 2658 0.331545465884994
H3N2 -5.4 2 2674 0.333541224897094
H3N2 -5.4 3 2685 0.334913309217912
H3N2 -5.2 1 20775 0.330102486692619
H3N2 -5.2 2 20692 0.32878366568682
H3N2 -5.2 3 21468 0.341113847620561
H3N2 -5 1 68396 0.330053516192388
H3N2 -5 2 68752 0.331771439049931
H3N2 -5 3 70079 0.338175044757681
H3N2 -4.8 1 142094 0.33152979111108
H3N2 -4.8 2 142561 0.332619382595934
H3N2 -4.8 3 143946 0.335850826292986
H3N2 -4.6 1 245659 0.332906458948236
H3N2 -4.6 2 246446 0.333972967332591
H3N2 -4.6 3 245817 0.333120573719174
H3N2 -4.4 1 359810 0.332544970420217
H3N2 -4.4 2 364082 0.336493254552495
H3N2 -4.4 3 358097 0.330961775027288
H3N2 -4.2 1 433294 0.333424392105743
H3N2 -4.2 2 438659 0.337552817294292
H3N2 -4.2 3 427574 0.329022790599964
H3N2 -4 1 438457 0.338798688253003
H3N2 -4 2 432690 0.334342488363036
H3N2 -4 3 423005 0.326858823383961
H3N2 -3.8 1 396784 0.339230783699167
H3N2 -3.8 2 384301 0.328558433319825
H3N2 -3.8 3 388573 0.332210782981008
H3N2 -3.6 1 287622 0.331594402063199
H3N2 -3.6 2 286079 0.329815504195916
H3N2 -3.6 3 293690 0.338590093740885
H3N2 -3.4 1 173123 0.323211975363729
H3N2 -3.4 2 176939 0.330336256354631
H3N2 -3.4 3 185571 0.346451768281641
H3N2 -3.2 1 113196 0.329261056232329
H3N2 -3.2 2 113105 0.328996358220764
H3N2 -3.2 3 117487 0.341742585546907
H3N2 -3 1 66244 0.334626497747065
H3N2 -3 2 65742 0.332090683154513
H3N2 -3 3 65978 0.333282819098422
H3N2 -2.8 1 16087 0.313287503164619
H3N2 -2.8 2 16519 0.321700519971178
H3N2 -2.8 3 18743 0.365011976864204
H3N2 -2.6 1 2645 0.316880316281299
H3N2 -2.6 2 2423 0.29028393434767
H3N2 -2.6 3 3279 0.392835749371031
H3N2 -2.4 1 1041 0.301128145791148
H3N2 -2.4 2 998 0.288689615273358
H3N2 -2.4 3 1418 0.410182238935493
H3N2 -2.2 1 506 0.277716794731065
H3N2 -2.2 2 524 0.287596048298573
H3N2 -2.2 3 792 0.434687156970362
H3N2 -2 1 305 0.290199809705043
H3N2 -2 2 285 0.271170313986679
H3N2 -2 3 461 0.438629876308278
H3N2 -1.8 1 177 0.286871961102107
H3N2 -1.8 2 157 0.254457050243112
H3N2 -1.8 3 283 0.458670988654781
H3N2 -1.6 1 83 0.247761194029851
H3N2 -1.6 2 91 0.271641791044776
H3N2 -1.6 3 161 0.480597014925373
H3N2 -1.4 1 53 0.265
H3N2 -1.4 2 40 0.2
H3N2 -1.4 3 107 0.535
H3N2 -1.2 1 31 0.23134328358209
H3N2 -1.2 2 42 0.313432835820896
H3N2 -1.2 3 61 0.455223880597015
H3N2 -1 1 22 0.244444444444444
H3N2 -1 2 36 0.4
H3N2 -1 3 32 0.355555555555556
H3N2 -0.8 1 15 0.306122448979592
H3N2 -0.8 2 9 0.183673469387755
H3N2 -0.8 3 25 0.510204081632653
H3N2 -0.6 1 15 0.245901639344262
H3N2 -0.6 2 9 0.147540983606557
H3N2 -0.6 3 37 0.60655737704918
H3N2 -0.4 1 5 0.178571428571429
H3N2 -0.4 2 7 0.25
H3N2 -0.4 3 16 0.571428571428571
pdmH1N1 -5.6 1 13 0.224137931034483
pdmH1N1 -5.6 2 19 0.327586206896552
pdmH1N1 -5.6 3 26 0.448275862068966
pdmH1N1 -5.4 1 269 0.36058981233244
pdmH1N1 -5.4 2 219 0.293565683646113
pdmH1N1 -5.4 3 258 0.345844504021448
pdmH1N1 -5.2 1 2114 0.352921535893155
pdmH1N1 -5.2 2 1857 0.310016694490818
pdmH1N1 -5.2 3 2019 0.337061769616027
pdmH1N1 -5 1 9688 0.339560478076478
pdmH1N1 -5 2 9227 0.3234026146998
pdmH1N1 -5 3 9616 0.337036907223722
pdmH1N1 -4.8 1 24145 0.34052605599041
pdmH1N1 -4.8 2 23109 0.325914956632113
pdmH1N1 -4.8 3 23651 0.333558987377477
pdmH1N1 -4.6 1 41713 0.339370123583348
pdmH1N1 -4.6 2 40711 0.331218015995053
pdmH1N1 -4.6 3 40489 0.329411860421599
pdmH1N1 -4.4 1 54409 0.333178202482502
pdmH1N1 -4.4 2 55346 0.338916002767861
pdmH1N1 -4.4 3 53548 0.327905794749637
pdmH1N1 -4.2 1 56949 0.328436970137375
pdmH1N1 -4.2 2 60503 0.34893364245591
pdmH1N1 -4.2 3 55942 0.322629387406715
pdmH1N1 -4 1 54247 0.336227841824718
pdmH1N1 -4 2 55108 0.341564398165365
pdmH1N1 -4 3 51985 0.322207760009917
pdmH1N1 -3.8 1 53251 0.340963515988167
pdmH1N1 -3.8 2 50922 0.326051044321223
pdmH1N1 -3.8 3 52005 0.332985439690609
pdmH1N1 -3.6 1 39402 0.328755465073591
pdmH1N1 -3.6 2 38942 0.324917398124353
pdmH1N1 -3.6 3 41508 0.346327136802056
pdmH1N1 -3.4 1 22815 0.316545265348595
pdmH1N1 -3.4 2 23407 0.324758931668401
pdmH1N1 -3.4 3 25853 0.358695802983004
pdmH1N1 -3.2 1 12935 0.317805459325324
pdmH1N1 -3.2 2 12962 0.31846883368959
pdmH1N1 -3.2 3 14804 0.363725706985086
pdmH1N1 -3 1 6312 0.320813214739517
pdmH1N1 -3 2 6143 0.312223634053367
pdmH1N1 -3 3 7220 0.366963151207116
pdmH1N1 -2.8 1 1719 0.312488638429376
pdmH1N1 -2.8 2 1626 0.295582621341574
pdmH1N1 -2.8 3 2156 0.391928740229049
pdmH1N1 -2.6 1 446 0.273116962645438
pdmH1N1 -2.6 2 398 0.243723208818126
pdmH1N1 -2.6 3 789 0.483159828536436
pdmH1N1 -2.4 1 191 0.263085399449036
pdmH1N1 -2.4 2 182 0.25068870523416
pdmH1N1 -2.4 3 353 0.486225895316804
pdmH1N1 -2.2 1 102 0.302670623145401
pdmH1N1 -2.2 2 69 0.204747774480712
pdmH1N1 -2.2 3 166 0.492581602373887
pdmH1N1 -2 1 45 0.203619909502262
pdmH1N1 -2 2 60 0.271493212669683
pdmH1N1 -2 3 116 0.524886877828054
pdmH1N1 -1.8 1 29 0.23015873015873
pdmH1N1 -1.8 2 39 0.30952380952381
pdmH1N1 -1.8 3 58 0.46031746031746
pdmH1N1 -1.6 1 19 0.218390804597701
pdmH1N1 -1.6 2 29 0.333333333333333
pdmH1N1 -1.6 3 39 0.448275862068966
pdmH1N1 -1.4 1 16 0.192771084337349
pdmH1N1 -1.4 2 14 0.168674698795181
pdmH1N1 -1.4 3 53 0.63855421686747
pdmH1N1 -1.2 1 16 0.340425531914894
pdmH1N1 -1.2 2 7 0.148936170212766
pdmH1N1 -1.2 3 24 0.51063829787234
pdmH1N1 -1 1 12 0.27906976744186
pdmH1N1 -1 2 4 0.0930232558139535
pdmH1N1 -1 3 27 0.627906976744186
pdmH1N1 -0.8 1 5 0.178571428571429
pdmH1N1 -0.8 2 6 0.214285714285714
pdmH1N1 -0.8 3 17 0.607142857142857
pdmH1N1 -0.6 1 3 0.3
pdmH1N1 -0.6 2 1 0.1
pdmH1N1 -0.6 3 6 0.6
pdmH1N1 -0.4 2 1 0.333333333333333
pdmH1N1 -0.4 3 2 0.666666666666667
seasonalH1N1 -5.2 1 198 0.356115107913669
seasonalH1N1 -5.2 2 172 0.309352517985612
seasonalH1N1 -5.2 3 186 0.334532374100719
seasonalH1N1 -5 1 1145 0.334893243638491
seasonalH1N1 -5 2 1135 0.331968411816321
seasonalH1N1 -5 3 1139 0.333138344545189
seasonalH1N1 -4.8 1 3087 0.341482300884956
seasonalH1N1 -4.8 2 2996 0.33141592920354
seasonalH1N1 -4.8 3 2957 0.327101769911504
seasonalH1N1 -4.6 1 5828 0.339706225227326
seasonalH1N1 -4.6 2 5812 0.338773606901376
seasonalH1N1 -4.6 3 5516 0.321520167871299
seasonalH1N1 -4.4 1 7608 0.338780781048226
seasonalH1N1 -4.4 2 7708 0.34323373558356
seasonalH1N1 -4.4 3 7141 0.317985483368215
seasonalH1N1 -4.2 1 9607 0.345116212235514
seasonalH1N1 -4.2 2 9162 0.329130294212738
seasonalH1N1 -4.2 3 9068 0.325753493551748
seasonalH1N1 -4 1 10196 0.334998028650283
seasonalH1N1 -4 2 10067 0.330759626757787
seasonalH1N1 -4 3 10173 0.334242344591931
seasonalH1N1 -3.8 1 7730 0.327320460704607
seasonalH1N1 -3.8 2 7714 0.326642953929539
seasonalH1N1 -3.8 3 8172 0.346036585365854
seasonalH1N1 -3.6 1 4773 0.317564870259481
seasonalH1N1 -3.6 2 4856 0.323087159015303
seasonalH1N1 -3.6 3 5401 0.359347970725216
seasonalH1N1 -3.4 1 2341 0.308432147562582
seasonalH1N1 -3.4 2 2315 0.305006587615283
seasonalH1N1 -3.4 3 2934 0.386561264822134
seasonalH1N1 -3.2 1 1212 0.310133060388946
seasonalH1N1 -3.2 2 1177 0.301177072671443
seasonalH1N1 -3.2 3 1519 0.388689866939611
seasonalH1N1 -3 1 581 0.28135593220339
seasonalH1N1 -3 2 616 0.298305084745763
seasonalH1N1 -3 3 868 0.420338983050847
seasonalH1N1 -2.8 1 296 0.283253588516746
seasonalH1N1 -2.8 2 274 0.262200956937799
seasonalH1N1 -2.8 3 475 0.454545454545455
seasonalH1N1 -2.6 1 113 0.243010752688172
seasonalH1N1 -2.6 2 115 0.247311827956989
seasonalH1N1 -2.6 3 237 0.509677419354839
seasonalH1N1 -2.4 1 70 0.269230769230769
seasonalH1N1 -2.4 2 60 0.230769230769231
seasonalH1N1 -2.4 3 130 0.5
seasonalH1N1 -2.2 1 41 0.253086419753086
seasonalH1N1 -2.2 2 38 0.234567901234568
seasonalH1N1 -2.2 3 83 0.512345679012346
seasonalH1N1 -2 1 10 0.172413793103448
seasonalH1N1 -2 2 9 0.155172413793103
seasonalH1N1 -2 3 39 0.672413793103448
seasonalH1N1 -1.8 1 16 0.340425531914894
seasonalH1N1 -1.8 2 8 0.170212765957447
seasonalH1N1 -1.8 3 23 0.48936170212766
seasonalH1N1 -1.6 1 2 0.153846153846154
seasonalH1N1 -1.6 2 2 0.153846153846154
seasonalH1N1 -1.6 3 9 0.692307692307692
seasonalH1N1 -1.4 1 2 0.0909090909090909
seasonalH1N1 -1.4 2 4 0.181818181818182
