MinFreq Project Subtype Sample NumVariants
0 flu-Debbink H3N2 020 13077
0 flu-Debbink H3N2 022 13130
0 flu-Debbink H3N2 023 13010
0 flu-Debbink H3N2 024 13092
0 flu-Debbink H3N2 025 13122
0 flu-Debbink H3N2 026 13128
0 flu-Debbink H3N2 027 13133
0 flu-Debbink H3N2 028 13130
0 flu-Debbink H3N2 029 13133
0 flu-Debbink H3N2 030 13124
0 flu-Debbink H3N2 031 13115
0 flu-Debbink H3N2 033 13128
0 flu-Debbink H3N2 034 13130
0 flu-Debbink H3N2 036 13092
0 flu-Debbink H3N2 037 13026
0 flu-Debbink H3N2 038 11478
0 flu-Debbink H3N2 039 13126
0 flu-Debbink H3N2 040 13110
0 flu-Debbink H3N2 041 13130
0 flu-Debbink H3N2 042 13130
0 flu-Debbink H3N2 043 13133
0 flu-Debbink H3N2 044 12893
0 flu-Debbink H3N2 046 13127
0 flu-Debbink H3N2 047 13132
0 flu-Debbink H3N2 049 13133
0 flu-Debbink H3N2 050 13133
0 flu-Debbink H3N2 051 13131
0 flu-Debbink H3N2 052 13007
0 flu-Debbink H3N2 054 13133
0 flu-Debbink H3N2 055 13131
0 flu-Debbink H3N2 056 13131
0 flu-Debbink H3N2 057 13128
0 flu-Debbink H3N2 058 13091
0 flu-Debbink H3N2 059 13122
0 flu-Debbink H3N2 061 13132
0 flu-Debbink H3N2 064 13129
0 flu-Debbink H3N2 066 13131
0 flu-Debbink H3N2 067 13130
0 flu-Debbink H3N2 068 13052
0 flu-Debbink H3N2 070 13110
0 flu-Debbink H3N2 071 13132
0 flu-Debbink H3N2 072 13132
0 flu-Debbink H3N2 073 13133
0 flu-Debbink H3N2 074 13133
0 flu-Debbink H3N2 075 13097
0 flu-Debbink H3N2 076 13133
0 flu-Debbink H3N2 077 13095
0 flu-Debbink H3N2 078 13131
0 flu-Debbink H3N2 079 13133
0 flu-Debbink H3N2 080 13133
0 flu-Debbink H3N2 081 13132
0 flu-Debbink H3N2 082 13105
0 flu-Debbink H3N2 083 11903
0 flu-Debbink H3N2 084 13121
0 flu-Debbink H3N2 085 13129
0 flu-Debbink H3N2 086 13132
0 flu-Debbink H3N2 088 13124
0 flu-Debbink H3N2 089 13133
0 flu-Debbink H3N2 090 4474
0 flu-Debbink H3N2 091 3043
0 flu-Debbink H3N2 092 10797
0 flu-Debbink H3N2 093 6180
0 flu-Debbink H3N2 094 12262
0 flu-Debbink H3N2 095 13122
0 flu-Debbink H3N2 096 12836
0 flu-Debbink H3N2 098 13122
0 flu-Debbink H3N2 100 13120
0 flu-Debbink H3N2 101 13128
0 flu-Debbink H3N2 103 13132
0 flu-Debbink H3N2 104 13132
0 flu-Debbink H3N2 105 13124
0 flu-Debbink H3N2 106 13131
0 flu-Debbink H3N2 400 13132
0 flu-Debbink H3N2 401 13133
0 flu-Debbink H3N2 402 13133
0 flu-Debbink H3N2 403 13116
0 flu-Debbink H3N2 404 13133
0 flu-Debbink H3N2 406 13131
0 flu-Debbink H3N2 407 13131
0 flu-Debbink H3N2 409 13120
0 flu-Debbink H3N2 411 12827
0 flu-Debbink H3N2 412 13058
0 flu-Debbink H3N2 414 13133
0 flu-Debbink H3N2 415 13109
0 flu-Debbink H3N2 426 11329
0 flu-Debbink H3N2 427 6749
0 flu-Debbink H3N2 501 13117
0 flu-Debbink H3N2 503 13133
0 flu-Debbink H3N2 504 13119
0 flu-Debbink H3N2 506 13131
0 flu-Debbink H3N2 507 13133
0 flu-Debbink H3N2 508 13123
0 flu-Debbink H3N2 509 13094
0 flu-Debbink H3N2 510 13132
0 flu-Debbink H3N2 511 13133
0 flu-Debbink H3N2 512 13000
0 flu-Debbink H3N2 515 13097
0 flu-Debbink H3N2 517 13133
0 flu-Debbink H3N2 520 12796
0 flu-Debbink H3N2 524 13106
0 flu-Debbink H3N2 525 8236
0 flu-Debbink H3N2 528 320
0 flu-Debbink H3N2 529 13132
0 flu-Debbink H3N2 Brisbane 13095
0 flu-Debbink H3N2 Cal-H3N2 13040
0 flu-Dinis H3N2 U130016 674
0 flu-Dinis H3N2 U130164 1080
0 flu-Dinis H3N2 U130203 1280
0 flu-Dinis H3N2 U130237 1037
0 flu-Dinis H3N2 U130283 1149
0 flu-Dinis H3N2 U130482 894
0 flu-Dinis H3N2 U130485 1324
0 flu-Dinis H3N2 U130506 1087
0 flu-Dinis H3N2 U130518 1152
0 flu-Dinis H3N2 U130585 1033
0 flu-Dinis H3N2 U130593 1154
0 flu-Dinis H3N2 U130648 1315
0 flu-Dinis H3N2 U130653 1134
0 flu-Dinis H3N2 U130661 1176
0 flu-Dinis H3N2 U130717 1259
0 flu-Dinis H3N2 U130728 1113
0 flu-Dinis H3N2 U130729 1257
0 flu-Dinis H3N2 U130773 1169
0 flu-Dinis H3N2 U130780 1404
0 flu-Dinis H3N2 U130890 660
0 flu-Dinis H3N2 U130975 1283
0 flu-Dinis H3N2 U131002 1334
0 flu-Dinis H3N2 U131012 1298
0 flu-Dinis H3N2 U131062 1387
0 flu-Dinis H3N2 U131069 1454
0 flu-Dinis H3N2 U131071 1334
0 flu-Dinis H3N2 U131142 1417
0 flu-Dinis H3N2 U131146 202
0 flu-Dinis H3N2 U131155 1382
0 flu-Dinis H3N2 U131166 1393
0 flu-Dinis H3N2 U131171 1513
0 flu-Dinis H3N2 U131291 1213
0 flu-Dinis H3N2 U131359 309
